Country,CountryName,FDI,ELECTRICITY,RENEWABLE_ENERGY,CO2,CPI,CELL_PHONES,INTERNET,EXPORTS,IMPORTS,GDP,FEMALE_MORTALITY,MALE_MORTALITY,BIRTH,DEATH,INFANT_MORTALITY,LIFE_EXP,FERTILITY,POPULATION,URBAN_POP
ITA,Italy,0.467633055,100,12.794093,6.83837457,1.539893392,156.8163246,53.68,25.18821114,27.15738624,35849.3732,40.159,73.011,9.5,9.9,3.4,82.03658537,1.46,0.307591222,68.327
JAM,Jamaica,1.408282447,92.7145462,13.71996666,2.590268386,12.60950824,112.948449,27.67,31.33784916,49.58921163,4682.521248,105.783,174.132,17.794,6.862,15.6,74.883,2.173,0.467082082,53.743
JOR,Jordan,6.38929091,99.57345581,2.973125599,2.948961557,5.013941643,92.1698766,27.2,49.95836941,40.24628087,3679.190275,98.4,132.986,28.975,3.867,18,73.412,3.663,5.160910192,82.473
JPN,Japan,0.130541249,100,4.585529562,9.148316038,-0.719979429,95.90457309,78.21,15.03675698,13.57625073,44507.67639,41.383,82.682,8.5,9.5,2.4,82.84268293,1.39,0.017960542,90.522
KAZ,Kazakhstan,5.036306283,99.63712311,1.382363385,15.22825883,7.115813597,118.3159241,31.6,44.2441795,29.8940864,9070.649972,137.893,336,22.54,8.97,19.1,68.29536585,2.6,1.412240469,53.732
KEN,Kenya,0.445165309,19.2,76.27312323,0.294423102,3.961388891,60.3840368,7.2,20.65720485,33.57024151,967.3400773,245.325,318.03,35.091,7.273,42.5,62.936,4.373,2.728405712,23.571
KGZ,Kyrgyz Republic,9.860930707,99,25.59478777,1.171873015,7.967722256,97.29157373,16.3,51.55432268,81.67852782,880.0377751,123.804,273.822,26.8,6.6,26.1,69.3,3.1,1.192864429,35.303
KHM,Cambodia,11.938522,31.1,68.51846752,0.350330567,3.99623008,56.96353418,1.26,54.08278279,59.52093544,785.6928841,164.488,224.738,25.503,6.512,37.8,66.555,2.875,1.539045133,19.81
KIR,Kiribati,-4.307572372,63.16773671,3.464604798,0.607284807,3.789836348,10.32127966,9.07,13.31580705,79.89484229,1493.16051,166.838,247.719,29.463,7.134,48.2,65.354,3.843,2.051051135,43.773
KNA,St. Kitts and Nevis,16.49162343,97.75255585,0.992490943,4.276800467,0.50550031,155.5058801,63,30.09868185,52.10201091,13704.25445,98.6988369,185.4704065,18.35120282,5.798147606,9.8,74.22200287,2.190586012,1.092543922,31.806
KOR,"Korea, Rep.",0.867739218,100,1.314953503,11.43631663,2.939181359,102.4506883,83.7,49.41949312,46.23459268,22086.95292,42.825,104.285,9.4,5.1,3.5,80.11707317,1.226,0.498225084,81.936
KWT,Kuwait,1.130339826,100,0,29.89415136,4.496402878,132.7229766,61.4,66.67351893,30.35451388,38497.61696,61.508,96.781,19.616,2.545,9.2,73.979,2.215,6.16125114,98.263
LAO,Lao PDR,3.91153219,70.24311066,71.50857939,0.262420284,5.982348385,64.0925294,7,35.38402604,49.33631185,1141.127115,195.219,238.84,26.715,7.366,58.5,64.357,3.149,1.520204203,33.123
LBN,Lebanon,11.13982933,99.94880676,5.203632044,4.622282052,3.989841464,66.02653684,43.68,35.79364081,60.23514133,8858.283977,56.078,79.325,13.535,4.6,8.8,78.43,1.614,3.61493897,87.183
LBR,Liberia,34.99213602,5.146131039,89.2054669,0.200619788,7.291036635,39.79884122,2.3,19.13907751,92.63535131,327.4205097,248.248,286.636,37.167,9.348,65.2,59.631,5.023,3.521062406,47.801
LBY,Libya,2.385873758,98.55153656,1.568330806,10.04374986,2.799895001,176.6858914,14,65.6049745,42.09748424,12120.56217,100.697,170.062,21.434,4.909,14.2,71.643,2.412,0.782530354,77.642
LCA,St. Lucia,8.777117114,94.2,2.204035523,2.33729285,3.250344092,114.8522424,32.5,44.05808163,56.97850487,8007.696484,115.55,174.587,13.028,6.896,13.5,74.465,1.538,0.906869388,18.45
LKA,Sri Lanka,0.841873473,85.3,61.84228066,0.656664382,6.217648893,85.94419555,12,19.5523217,26.81156867,2808.434185,78.778,202.075,17.513,6.489,9.7,74.352,2.203,0.612152267,18.321
LSO,Lesotho,0.398470154,18.93547249,53.44923217,1.115976518,3.597811021,48.39124335,3.86,39.44919522,101.1144444,1169.267842,508.157,588.836,28.528,14.383,75.3,50.826,3.303,1.051401886,24.753
LTU,Lithuania,2.33111629,100,21.45765236,4.348616303,1.319184445,156.5713011,62.12,65.34215138,67.21963067,11984.86857,98.082,284.36,9.9,13.6,4.9,73.26829268,1.5,-2.09694342,66.757
LUX,Luxembourg,73.53262074,100,3.659683026,21.6351358,2.273404833,143.1415132,90.62,174.52309,141.6383102,104965.3061,53.958,94.144,11.6,7.4,2.3,80.63170732,1.63,1.825405804,88.547
LVA,Latvia,1.83308293,100,33.06400041,3.849593455,-1.070663812,108.8374437,68.42,53.65732441,55.13166243,11326.21947,107.834,278.927,9.4,14.3,6.6,73.48292683,1.36,-2.08130509,67.692
MAC,"Macau SAR, China",12.90471027,100,5.811880139,2.622363675,2.809706258,208.999216,55.198,87.79032308,32.65393178,52374.79445,28.711,68.677,9.858,3.676,13.5,82.704,1.061,2.194608931,100
MAR,Morocco,1.330904482,90.81171417,14.40785881,1.726598065,0.987355331,98.68137994,52,32.23301862,43.01461592,2834.20472,75.816,90.081,21.289,5.308,28.8,73.999,2.578,1.303574435,57.684
MDA,Moldova,4.923253502,99.9860611,8.440061982,1.384630177,7.352251206,62.44592642,32.3,39.22521538,78.54521485,1631.535832,120.88,273.194,11.058,11.786,14.7,69.616,1.274,-0.099864634,44.886
MDG,Madagascar,9.275065794,16.90373993,81.93107572,0.09257807,9.247321736,36.45921073,1.7,24.9740999,43.04859427,412.7309341,218.323,267.488,35.204,7.374,43.1,63.388,4.603,2.792647324,31.929
MDV,Maldives,8.363764319,97.11832428,1.164190484,2.56531353,6.149885368,135.6203242,26.53,77.56179334,65.42071343,7100.405909,63.467,89.019,19.816,3.395,11.3,76.112,2.229,2.784556248,39.984
MEX,Mexico,2.003809626,99.236696,9.359977543,3.957657664,4.156727837,77.89321334,31.05,29.87165087,31.07488392,8959.581416,84.834,150.524,19.992,4.676,14.8,76.096,2.341,1.558042447,77.825
MKD,"Macedonia, FYR",3.204382649,99.65153503,22.3303036,4.154450175,1.508268832,103.9930672,51.9,39.78975339,58.09131572,4542.904104,74.393,137.762,11.09,9.522,9.2,74.632,1.465,0.079520139,56.992
MLI,Mali,3.479525704,25.39828682,69.12568403,0.063974498,1.108926907,49.35549617,2,22.83717018,35.14812706,708.3707632,276,295.666,46.359,12.481,79.5,55.249,6.547,3.15701051,35.996
MLT,Malta,105.7851974,100,1.387207134,6.174949579,1.516833766,109.4852323,63,153.2555497,154.1662247,21087.79469,43.796,75.889,9.4,7.3,5.9,81.39756098,1.36,0.491182811,94.665
MMR,Myanmar,1.818972023,48.8,84.40455649,0.249531401,7.718381959,1.184307424,0.25,0.109123505,0.065879666,987.7365832,178.967,238.266,19.855,8.276,49.3,65.178,2.41,0.710723544,31.405
MNE,Montenegro,18.3225975,99.72993469,49.09400765,4.167664361,0.65494657,187.4144021,37.5,37.04440512,62.73592121,6682.281158,78.873,142.35,12.565,10.04,6.2,75.28,1.767,0.183239906,63.096
MNG,Mongolia,23.52633713,78.50208044,4.348320566,5.094989402,10.14963142,92.54677161,10.2,46.67898258,56.67104907,2650.353648,146.281,314.025,24.609,6.57,22,67.383,2.637,1.648857385,67.567
MOZ,Mozambique,12.39337768,17.25792313,91.30460426,0.112940682,12.70123982,29.82558609,4.17,31.51021633,46.2213269,419.2258149,348.482,415.685,41.491,12.006,70.1,54.7,5.562,2.921289164,30.955
MRT,Mauritania,3.005028912,32.65188217,33.9988157,0.61971003,6.283540874,76.90862805,4,50.74469613,61.17551042,1203.383663,189.2,234.8,36.191,8.521,62.1,61.997,4.983,2.902324351,56.682
MUS,Mauritius,4.298002643,98.60122681,13.658429,3.132082534,2.892968717,95.4281204,28.33,51.23767279,62.21940076,8000.376432,99.578,203.255,12,7.3,13.3,72.96731707,1.57,0.237886693,40.579
MWI,Malawi,1.393882891,8.7,79.47031403,0.075433298,7.411590929,20.55346789,2.26,22.78704154,34.86045203,458.8681744,336.012,444.471,40.321,9.844,57.4,57.263,5.308,3.028794456,15.54
MYS,Malaysia,4.268590275,99.28923035,3.819042295,7.771554746,1.710037175,120.4409218,56.3,86.93029507,71.01446982,9071.356987,88.928,165.719,17.263,4.691,6.8,74.21,2.149,1.819602176,70.912
NAC,North America,1.744373606,100,9.069901538,17.26991958,1.708457492,90.71308597,72.5503538,13.90763709,17.18782347,48289.7003,74.63980903,127.0799319,12.81163463,7.906245395,6.088603526,78.8046116,1.900166837,0.867298729,80.79198457
NAM,Namibia,2.545504269,45.37103653,26.37391934,1.427537652,4.874919876,89.73398308,11.6,47.7572842,60.65620705,5191.583081,379.886,445.061,30.011,9.881,40.5,58.189,3.605,1.676523708,41.616
NER,Niger,13.91706144,12.71824646,80.70682998,0.0714398,0.804073081,22.33483047,0.83,22.19825258,49.09193492,348.151511,253.062,281.462,50.034,11.786,62.4,56.838,7.487,3.794963183,17.559
NGA,Nigeria,1.632848805,48,86.7812381,0.57711138,13.72020184,55.05028776,11.5,25.26411563,17.38726927,2327.32067,359.82,392.538,41.344,14.306,81.1,50.847,5.839,2.668746857,43.48
NIC,Nicaragua,5.59334541,78.05745697,52.64110322,0.790571277,5.454855462,69.05608723,10,40.46711516,59.89694327,1526.497938,114.396,206.737,22.163,4.795,20.8,73.699,2.428,1.247650411,57.255
NLD,Netherlands,13.836826,100,3.873162742,11.01707086,1.275552568,114.9619098,90.72,71.95397712,63.59103232,50338.25483,54.901,74.177,11.1,8.2,3.8,80.70243902,1.79,0.512923101,87.061
NOR,Norway,5.041413472,100,56.42455578,12.2934545,2.399257688,114.6014289,93.39,39.7251998,28.4648918,87770.26684,50.096,79.588,12.6,8.5,2.6,80.99756098,1.95,1.24566618,79.102
NPL,Nepal,0.548294666,66.9937439,87.29244859,0.187128275,9.324000504,34.02847715,7.93,9.582536172,36.4023696,592.1835216,156.955,197.423,22.83,6.67,37.4,67.914,2.606,1.049160509,16.822
NZL,New Zealand,0.195323406,100,31.32269173,7.305005861,2.302025783,107.7787912,80.46,30.26053188,27.96588507,33691.34837,54.392,85.432,14.68,6.53,5.1,80.70243902,2.17,1.111726056,86.165
OMN,Oman,2.119062803,100,0,15.59053119,3.203396372,151.4447995,35.8278,65.6528051,41.21040646,19280.74735,75.76,121.47,21.978,2.799,10,75.694,2.901,5.352636277,75.161
PAK,Pakistan,1.13975303,89.81377411,46.7220403,0.946268168,13.88113926,58.15298907,8,13.51626785,19.35265873,1040.142268,152.708,185.625,30.175,7.767,73.6,65.134,3.855,2.079755347,36.598
PAN,Panama,8.815168827,86.85,19.93740572,2.515310074,3.491288726,182.430497,40.1,66.2757805,75.56125766,7937.259931,84.128,159.185,21.102,4.909,16.8,76.828,2.622,1.767745701,65.115
PER,Peru,5.730826615,88.123061,30.79721128,1.96073385,1.528320597,99.11996965,34.77,27.82616415,23.84664478,5022.493191,101.675,162.861,20.876,5.577,15.7,73.681,2.545,1.275008363,76.915
PHL,Philippines,0.536290787,84.03495026,28.81183559,0.905495625,3.789836348,88.71560124,25,34.80329202,36.61619824,2129.499247,145.29,267.76,24.845,6.174,24.9,68.32,3.158,1.619573147,45.255
PLW,Palau,1.464664495,98.58459473,0,12.36067416,3.789836348,70.89399121,28.95748204,51.44666788,76.42851805,8956.282364,140.9143036,211.491516,11.9,8.1,16.5,69.51435259,3.428559517,0.627268547,83.358
PNG,Papua New Guinea,0.201538417,19.5,55.2524869,0.670128424,6.013608936,26.85725677,1.28,30.5725972,27.09597065,2004.818112,202.59,267.219,29.942,7.272,49.8,64.634,3.985,2.288027985,13.019
